id_categorie,categorie,champ,description,type_champ,libelle_type,options_valeurs,seuil_reference,source,impact_valeur
1,Identification et Statut Juridique,Adresse complète,"Numéro, rue, code postal, ville, bâtiment, étage, numéro de porte",TEXT,Texte libre,,,Acte de propriété,
1,Identification et Statut Juridique,Référence cadastrale,Département / Commune / Préfixe / Section / Numéro de parcelle,TEXT,Texte libre,,,Cadastre.gouv.fr,
1,Identification et Statut Juridique,Type de bien,Appartement / Maison individuelle / Villa / Studio / Duplex / Loft / Terrain / Local commercial,SEL,Liste de choix,Appartement;Maison individuelle;Villa;Studio;Duplex;Loft;Terrain;Local commercial;Autre,,Titre de propriété,Base de valorisation
1,Identification et Statut Juridique,Régime de propriété,Pleine propriété / Copropriété / Indivision / SCI / Bail emphytéotique,SEL,Liste de choix,Pleine propriété;Copropriété;Indivision;SCI;Bail emphytéotique,,Titre de propriété,
1,Identification et Statut Juridique,Numéro de lot (copropriété),Numéro(s) de lot(s) dans le règlement de copropriété,TEXT,Texte libre,,,Règlement de copropriété,
1,Identification et Statut Juridique,Quote-part copropriété (millièmes),Tantièmes / millièmes attribués au lot,NUM,Nombre / Mesure,,,État daté,
1,Identification et Statut Juridique,Servitudes,"Passage, vue, écoulement, mitoyenneté — nature et emprise précise",TEXT,Texte libre,,,Acte de propriété,Contrainte ou avantage selon nature
1,Identification et Statut Juridique,Hypothèques et sûretés,"Prêts en cours, hypothèques légales, privilèges de prêteurs de deniers",CHECK,Oui / Non,Oui;Non,,Publicité foncière,
1,Identification et Statut Juridique,Bail en cours,Location nue / meublée / bail commercial / bail dérogatoire — durée restante et loyer HC,CHECK,Oui / Non,Oui;Non,,Contrat de location,Impact liquidité pour investisseur
1,Identification et Statut Juridique,Droits de préemption actifs,Droit de préemption urbain (DPU) ou droit locataire (Loi Aurillac),CHECK,Oui / Non,Oui;Non,,Mairie / Notaire,
2,Caractéristiques Générales,Surface Carrez (m²),"m² loi Carrez — pièces avec hauteur >1,80m — utilisé pour la vente en copropriété",NUM,Nombre / Mesure,,,Diagnostic métrage Carrez,Base de calcul prix au m²
2,Caractéristiques Générales,Surface Boutin / SHAB (m²),"Surface habitable loi Boutin pour les baux de location — exclut murs, marches, gaines",NUM,Nombre / Mesure,,,Diagnostic ou mesurage,
