id_categorie,categorie,champ,description,type_champ,poids_estimation,niveau_impact,impact_valeur_detail,dispo_DVF,dispo_PORTAIL,dispo_IDEERI,source_collecte
1,Identification et Statut Juridique,Adresse complète,"Numéro, rue, code postal, ville, bâtiment, étage, numéro de porte",TEXT,4,Critique,,OUI,OUI,OUI,Acte de propriété
1,Identification et Statut Juridique,Référence cadastrale,Département / Commune / Préfixe / Section / Numéro de parcelle,TEXT,2,Contextuel,,OUI,NON,OUI,Cadastre.gouv.fr
1,Identification et Statut Juridique,Type de bien,Appartement / Maison individuelle / Villa / Studio / Duplex / Loft / Terrain / Local commercial,SEL,4,Critique,Base de valorisation,OUI,OUI,OUI,Titre de propriété
1,Identification et Statut Juridique,Régime de propriété,Pleine propriété / Copropriété / Indivision / SCI / Bail emphytéotique,SEL,3,Important,,NON,NON,OUI,Titre de propriété
1,Identification et Statut Juridique,Numéro de lot (copropriété),Numéro(s) de lot(s) dans le règlement de copropriété,TEXT,1,Informatif,,NON,NON,OUI,Règlement de copropriété
1,Identification et Statut Juridique,Quote-part copropriété (millièmes),Tantièmes / millièmes attribués au lot,NUM,2,Contextuel,,NON,NON,OUI,État daté
1,Identification et Statut Juridique,Servitudes,"Passage, vue, écoulement, mitoyenneté — nature et emprise précise",TEXT,3,Important,Contrainte ou avantage selon nature,NON,NON,OUI,Acte de propriété
1,Identification et Statut Juridique,Hypothèques et sûretés,"Prêts en cours, hypothèques légales, privilèges de prêteurs de deniers",CHECK,2,Contextuel,,NON,NON,OUI,Publicité foncière
1,Identification et Statut Juridique,Bail en cours,Location nue / meublée / bail commercial / bail dérogatoire — durée restante et loyer HC,CHECK,3,Important,Impact liquidité pour investisseur,NON,NON,OUI,Contrat de location
1,Identification et Statut Juridique,Droits de préemption actifs,Droit de préemption urbain (DPU) ou droit locataire (Loi Aurillac),CHECK,2,Contextuel,,NON,NON,OUI,Mairie / Notaire
2,Caractéristiques Générales,Surface Carrez (m²),"m² loi Carrez — pièces avec hauteur >1,80m — utilisé pour la vente en copropriété",NUM,4,Critique,Base de calcul prix au m²,OUI,OUI,OUI,Diagnostic métrage Carrez
2,Caractéristiques Générales,Surface Boutin / SHAB (m²),"Surface habitable loi Boutin pour les baux de location — exclut murs, marches, gaines",NUM,3,Important,,NON,OUI,OUI,Diagnostic ou mesurage
